r,g,b
99,128,55
101,126,55
112,126,55
99,118,55
104,118,55
104,116,55
123,129,55
106,102,55
105,89,57
81,99,57
89,114,57
114,145,57
94,117,57
89,115,57
102,119,57
105,133,57
103,120,57
105,112,57
122,137,57
136,183,57
158,169,63
134,159,63
141,141,63
104,118,63
91,97,63
97,117,63
104,121,63
117,129,63
113,117,63
121,147,63
124,135,63
91,98,63
88,108,62
105,97,62
71,76,62
99,103,62
96,113,62
98,114,62
116,132,62
104,117,62
117,134,62
144,157,62
118,138,62
86,94,62
139,135,58
121,123,58
91,96,58
110,117,58
105,113,58
97,95,58
110,119,58
109,116,58
101,122,58
116,140,58
122,134,58
122,125,58
79,85,60
50,52,60
101,109,60
97,113,60
92,107,60
88,83,60
101,98,60
103,118,60
98,101,60
127,129,60
108,124,60
54,38,60
111,98,64
107,115,64
124,132,64
109,108,64
101,108,64
107,111,64
122,138,64
122,134,64
96,109,64
118,113,64
140,140,64
118,123,64
119,120,63
89,74,63
102,115,63
108,113,63
101,98,63
122,132,63
138,143,63
132,145,63
131,128,63
153,162,63
121,118,63
131,152,63
168,198,69
91,116,69
96,103,69
140,150,69
119,108,69
106,115,69
124,127,69
118,116,69
122,136,69
139,146,69
92,110,69
102,118,69
92,73,74
84,82,74
89,88,74
109,107,74
102,104,74
90,108,74
115,121,74
113,124,74
103,100,74
105,127,74
93,111,74
82,84,74
108,112,68
143,159,68
80,89,68
96,100,68
120,142,68
115,116,68
125,129,68
121,118,68
101,94,68
123,136,68
138,123,68
125,135,68
81,96,74
167,177,74
110,127,74
83,91,74
92,100,74
103,114,74
123,133,74
114,125,74
102,120,74
126,140,74
76,72,74
98,99,74
83,101,70
72,74,70
90,104,70
105,113,70
112,119,70
107,119,70
136,150,70
118,131,70
105,120,70
120,141,70
110,130,70
136,128,70
103,105,76
129,133,76
74,88,76
104,110,76
111,132,76
113,140,76
124,130,76
130,141,76
123,149,76
145,152,76
121,130,76
96,117,76
136,133,78
122,130,78
132,146,78
156,167,78
127,141,78
116,114,78
132,136,78
123,142,78
127,150,78
139,164,78
144,150,78
103,106,78
127,145,83
122,120,83
95,96,83
119,134,83
126,141,83
123,133,83
134,132,83
123,136,83
101,117,83
116,111,83
120,124,83
181,215,83
97,105,78
124,127,78
121,118,78
143,150,78
116,125,78
122,134,78
131,147,78
119,126,78
125,130,78
128,133,78
112,112,78
138,155,78
111,133,90
139,145,90
108,110,90
139,133,90
135,129,90
130,133,90
143,153,90
133,138,90
101,108,90
142,147,90
106,110,90
113,117,90
138,156,90
102,86,90
111,113,90
127,132,90
126,122,90
130,131,90
127,120,90
123,119,90
115,133,90
139,143,90
128,145,90
135,129,90
99,110,90
131,148,90
111,109,90
147,143,90
134,134,90
108,108,90
129,140,90
122,125,90
118,126,90
149,169,90
123,130,90
144,156,90
174,178,84
141,140,84
133,135,84
122,138,84
119,135,84
119,134,84
131,147,84
124,151,84
137,149,84
148,163,84
124,108,84
109,105,84
117,117,87
95,81,87
105,111,87
139,148,87
103,117,87
113,124,87
118,127,87
145,157,87
125,126,87
136,142,87
111,117,87
81,92,87
137,140,94
123,135,94
108,116,94
142,158,94
119,124,94
102,109,94
123,133,94
121,131,94
119,117,94
121,126,94
119,124,94
85,85,94
114,118,98
115,122,98
136,145,98
144,144,98
118,126,98
115,126,98
120,128,98
123,120,98
124,121,98
160,165,98
137,130,98
