date,minclimate,maxclimate,sunlightminute
2017-01-01,-3.4,3.5,0
2017-01-02,1,4.7,0
2017-01-03,-0.2,1.6,0
2017-01-04,-2.5,4.9,0
2017-01-05,1.1,7.9,360
2017-01-06,-3.9,3.8,281
2017-01-07,-4.4,5.4,123
2017-01-08,2.3,8.9,3
2017-01-09,6.2,11.4,130
2017-01-10,5.5,8.6,14
2017-01-11,7,13.2,29
2017-01-12,7.1,10.7,0
2017-01-13,2.4,8.5,294
2017-01-14,0.3,7.6,403
2017-01-15,2.9,8.9,0
2017-01-16,3.6,8.3,0
2017-01-17,-3.1,3.5,437
2017-01-18,-3.8,2.4,479
2017-01-19,-4.5,0.9,457
2017-01-20,-6.5,1.5,454
2017-01-21,-7.6,4.2,460
2017-01-22,-4.5,6.5,390
2017-01-23,-1.3,8.3,431
2017-01-24,-5.6,8.1,471
2017-01-25,-4.2,3.1,112
2017-01-26,-4.7,6.4,465
2017-01-27,0.1,8.6,30
2017-01-28,4.6,11.9,238
2017-01-29,3.8,11.6,115
2017-01-30,9.1,12.6,0
2017-01-31,10.8,13.7,31
2017-02-01,8.2,13.2,6
2017-02-02,8.8,12.3,0
2017-02-03,6.3,10.1,33
2017-02-04,6.1,11.1,153
2017-02-05,6.5,11.1,224
2017-02-06,2.8,10.9,91
2017-02-07,6.4,12.2,391
2017-02-08,1.9,9.7,282
2017-02-09,1.4,5.4,46
2017-02-10,-1.6,5.7,505
2017-02-11,-3,3.9,17
2017-02-12,-1,9.8,1
2017-02-13,5.8,17,257
2017-02-14,9.7,14.6,54
2017-02-15,7.2,14.6,102
2017-02-16,6.6,15.6,267
2017-02-17,0.7,15.2,515
2017-02-18,0.4,14,563
2017-02-19,-1.9,13.8,487
2017-02-20,5.4,12.9,0
2017-02-21,10,12.8,0
2017-02-22,9.6,11.6,0
2017-02-23,9,12.3,4
2017-02-24,3,10.9,338
2017-02-25,-1.1,12.9,555
2017-02-26,4.4,13.5,8
2017-02-27,6.8,12.4,37
2017-02-28,4.3,10.2,247
2017-03-01,7.7,12.2,0
2017-03-02,4.5,11.4,151
2017-03-03,8.2,17.2,118
2017-03-04,6.9,12.9,177
2017-03-05,5.4,12.6,171
2017-03-06,7.9,11.6,156
2017-03-07,6.7,11.3,0
2017-03-08,7,13.4,0
2017-03-09,9.9,16.5,25
2017-03-10,10.6,18.7,271
2017-03-11,4,18.7,376
2017-03-12,8.6,11.9,0
2017-03-13,8.7,15.5,72
